ExpenseID,RequestID,ExpenseType,Amount,Currency,DateIncurred,to_Employees_EmployeeID
1,1,Flight,500,USD,2023-10-01,5
2,2,Hotel,800,USD,2023-10-02,6
3,3,Meals,50,USD,2023-10-03,7
4,4,Taxi,30,USD,2023-10-04,8
5,5,Entertainment,100,USD,2023-10-05,9
6,6,Flight,450,USD,2023-10-06,10
7,7,Hotel,750,USD,2023-10-07,5
8,8,Meals,60,USD,2023-10-08,6
9,9,Taxi,25,USD,2023-10-09,7
10,10,Entertainment,120,USD,2023-10-10,8
11,11,Flight,510,USD,2023-10-11,9
12,12,Hotel,900,USD,2023-10-12,10
13,13,Meals,55,USD,2023-10-13,5
14,14,Taxi,35,USD,2023-10-14,6
15,15,Entertainment,130,USD,2023-10-15,7
16,16,Flight,600,USD,2023-10-16,8
17,17,Hotel,850,USD,2023-10-17,9
18,18,Meals,40,USD,2023-10-18,10
19,19,Taxi,20,USD,2023-10-19,5
20,20,Entertainment,110,USD,2023-10-20,6
21,21,Flight,470,USD,2023-10-21,7
22,22,Hotel,890,USD,2023-10-22,8
23,23,Meals,45,USD,2023-10-23,9
24,24,Taxi,28,USD,2023-10-24,10
25,25,Entertainment,95,USD,2023-10-25,5
26,26,Flight,520,USD,2023-10-26,6
27,27,Hotel,880,USD,2023-10-27,7
28,28,Meals,65,USD,2023-10-28,8
29,29,Taxi,22,USD,2023-10-29,9
30,30,Entertainment,140,USD,2023-10-30,10
31,31,Flight,550,USD,2023-10-31,5
32,32,Hotel,910,USD,2023-11-01,6
33,33,Meals,70,USD,2023-11-02,7
34,34,Taxi,27,USD,2023-11-03,8
35,35,Entertainment,125,USD,2023-11-04,9