BookingID,RequestID,HotelName,CheckInDate,CheckOutDate,RoomType,to_Employees_EmployeeID
1,1,Grand Hyatt,2023-10-01,2023-10-05,Deluxe,5
2,2,Marriott,2023-10-02,2023-10-06,Suite,6
3,3,Hilton,2023-10-03,2023-10-07,Standard,7
4,4,Four Seasons,2023-10-04,2023-10-08,Deluxe,8
5,5,Westin,2023-10-05,2023-10-09,Suite,9
6,6,Ritz-Carlton,2023-10-06,2023-10-10,Standard,10
7,7,Grand Hyatt,2023-10-07,2023-10-11,Deluxe,5
8,8,Marriott,2023-10-08,2023-10-12,Suite,6
9,9,Hilton,2023-10-09,2023-10-13,Standard,7
10,10,Four Seasons,2023-10-10,2023-10-14,Deluxe,8
11,11,Westin,2023-10-11,2023-10-15,Suite,9
12,12,Ritz-Carlton,2023-10-12,2023-10-16,Standard,10
13,13,Grand Hyatt,2023-10-13,2023-10-17,Deluxe,5
14,14,Marriott,2023-10-14,2023-10-18,Suite,6
15,15,Hilton,2023-10-15,2023-10-19,Standard,7
16,16,Four Seasons,2023-10-16,2023-10-20,Deluxe,8
17,17,Westin,2023-10-17,2023-10-21,Suite,9
18,18,Ritz-Carlton,2023-10-18,2023-10-22,Standard,10
19,19,Grand Hyatt,2023-10-19,2023-10-23,Deluxe,5
20,20,Marriott,2023-10-20,2023-10-24,Suite,6
21,21,Hilton,2023-10-21,2023-10-25,Standard,7
22,22,Four Seasons,2023-10-22,2023-10-26,Deluxe,8
23,23,Westin,2023-10-23,2023-10-27,Suite,9
24,24,Ritz-Carlton,2023-10-24,2023-10-28,Standard,10
25,25,Grand Hyatt,2023-10-25,2023-10-29,Deluxe,5
26,26,Marriott,2023-10-26,2023-10-30,Suite,6
27,27,Hilton,2023-10-27,2023-10-31,Standard,7
28,28,Four Seasons,2023-10-28,2023-11-01,Deluxe,8
29,29,Westin,2023-10-29,2023-11-02,Suite,9
30,30,Ritz-Carlton,2023-10-30,2023-11-03,Standard,10
31,31,Grand Hyatt,2023-10-31,2023-11-04,Deluxe,5
32,32,Marriott,2023-11-01,2023-11-05,Suite,6
33,33,Hilton,2023-11-02,2023-11-06,Standard,7
34,34,Four Seasons,2023-11-03,2023-11-07,Deluxe,8
35,35,Westin,2023-11-04,2023-11-08,Suite,9